,sac_number,prop_add,building_type,building_name,village,num_flat,region,num_shops,wing_name,prabhag_no,ward_name_field,updated_by,update_time,device_ip,address,validity
102,KW1513996150000,"
AKASH GANGA,702, Oshiwara Yashodeep C H S Ltd.,, MHADA Layout, Oshiwara,,Jogeshwari (West), Mumbai - 400 102.",R,THE SECY OSHIWARA  YASHODEEP ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW. 5566(A\21)(F404) PLOT. NO R.12 (OLD-A21) (S.NO.41) OSHIWARA VILLAGE. (W) HOUSE AKASH GANGA FLAT 404,False
103,KW1513996580000,",OFF NEW LINK ROAD,,BEHIND MORYA ESTATE,,ANDHERI(WEST),MUMBAI-53.",R,SECRETARYDHEERAJ GAURAV HEIGHTS-III CHS LTD. ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 [B-22] PL NO B-22 CTS NO 587 VILLAGE OSHIWARA ANDHERI [W] DHIRAJ GAURAV HEIGHTS NO III,False
104,KW1513996820000,",HEIGHT -1 CHS LTD,PLOT NO 24 CTS NO 588 TO,598 VILLAGE ANDHERI OSHIWARA ANDHERI WESTMUMBAI-400053",R,THE SECY DHEERAJ GAURAV ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5611(B19,B20) CTS 589 PL19,A.W.5611(19)&5611(B20) DHEERAJ GAURAV HEIGHT 1",False
105,KW1513996910000,",II CHS LTD,PLOT NO 24 CTS588-598,VILLAGE OSHIWARAANDHERI [W]MUMBAI 53",R,SECY DHEERAJ GAURAV HEIGHT ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW5611(B23&B24),CTS590, PL-B23,A.W.5611(B23)&5611(B24)DHEERAJ GAURAV HEIGHTS II",False
106,KW1514011810000,",C/O M/S LASHKARIYA CONSTRUC,TION, FLAT NO 201,DIAMOND,CHS LTD,NEW LINK RD VILLAGEOSHIWARA JOGESHWARI (W)MUMBAI 400 102",R,M/S PERFECT CONSTRUCTION ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5562(2B/3) CTS NO 1(PART)& 651/A(PART) VILLAGE OSHIWARA JOGESHWARI (W) PLOT OF LAND,False
107,KW1514013510000,",NEAR  SERINITY COMPLEX,NEXT TO CITY INTERNATIONAL SCHOOL  ,VILLAGE OSHIWARA ANAND NAGAR JOG (W) MUMBAI",R,OM SHREE  JAI AMBE CHS  . ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW5349(2A/2/1) CTS NO 155,158,171,172 (ALL IN PARTS) OSHIWARA JOGESHWARI WEST HOUSE OM SHREE JAI AMBE CHS LTD. ASSESSED WITH KW 5349(2A/2) .",False
108,KW1514114110000,",GARDENS CO OP HSG SC LTD.,ADARSH NAGAR NEW LINK RD,OPP.OSHIWARA POLICE STATIONOSHIWARA ANDHERI WESTMUMBAI 400053",R,HON SECY OSHIWARA TARAPORE ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (P/4) BLDG H NO 4 OSIVRA  TARAPORE GARDEN HOUS E H BLDG NO 4,False
109,KW1514114290000,",GARDENS CO OP HSG SOC LTD,ADARSH NAGAR NEW LINK RD,OPP.OSHIWARA POLICE STATIONOSHIWARA ANDHERI WESTMUMBAI 400053",R,HON SECYOSHIWARA TARAPORE ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (P/5) HOUSE I BLDG 5 OSHIVRA  TARAPORE GARDEN HOUSE I BLDG NO 5,False
110,KW1514114370000,",GARDENS CO OP HSG SOC LTD.,ADARSH NAGAR NEW LINK RD,OPP.OSHIWARA POLICE STATIONOSHIWARA ANDHERI WESTMUMBAI 400053.",R,HON.SECY OSHIWARA TARAPORE ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (P/6) HOUSE J BLDG 6 OSHIVRA  TARAPORE GARDEN HOUSE J BLDG NO 6,False
111,KW1514123610000,"ORGANISATION,O-BLDG,LOKHANDWALA COMPLEXANDHERI WESTMUMBAI 400053",R,ARMY WELFARE HSG,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5611 (H67-73-K) BLDG K  PLOT NO  H 67-73 S NO 41 PT OSHIWARA  HOUSE BLDG K,False
112,KW1514116230000,",BAL MANDIR ROAD,JUHU NORTH,MUMBAI",R,SMT RAJRANI MALHOTRA  VIDYALAY,VILLAGE OSHIWARA,,null,,null,061,K/W,,,,",BAL MANDIR ROAD,JUHU NORTH,MUMBAI",False
113,KW1514351070000,",HSG SOCIETY NEW LINK RD,OSHIWARA JOGSHWARI,WESTMUMBAI 400102",R,SEC AKASHGANGA CO OP ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (5I) S NO 41 PART OSHIWARA VILLAGE JOGESHWARI HOUSE AKASH GANGA,False
114,KW1514351150000,",SCY NEW LINK ROAD,OSHIWARA JOGESHWARI WEST,MUMBAI 400102",R,SECRETARY VISHAL CO-OP HSG ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (32) S NO 41 PART OSHIWARA VILLAGE HOUSE,False
115,KW1514351230000,",COHSG SOCIETY LTD,NEW LINK ROAD,JOGESHWARI WESTMUMBAI 400102",R,SECRETARY OSHIVARA JOHIG ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (53) S NO 41 PART OSHIWARA VILLAGE HOUSE,False
116,KW1514351310000,",COOP HSG SOC LTD,HIG BUILDING NO 4,NEW LINK ROAD OSHIWARAJOGESHWARI WESTMUMBAI 400102",R,SECY OSHIWARA RAVI KIRAN ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (54) S NO 41 PART OSHIWARA VILLAGE  JOGESHWARI WEST HOUSE,False
117,KW1514353790000,",ARCH SCHOOL A/7 MAZDOC COOP,SOCIETY 74 J P ROAD ANDHERI,MUMBAI 400058",R,HOLY ANGEL TRUST C/O MARBAL ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5611[29AA] PL.NO.29A OSHIVARA HOUSE AS SCHOOL,False
118,KW1514362190000,",BLDG NO 1,NEW LINK RD,OSHIWARA JOGESHWARI WEST,MUMBAI 400102",R,SAHYADRI CHS ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5611(5/5)HOUSE BLDG NO 1 SAHAYADRI,False
119,KW1514362270000,",BLDG NO 2 NEW LINK ROAD,OSHIWARA MUMBAI 400102,",R,THE SECY GIRNAR CHS ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5611(5/6)HOUSE BLDG NO 2 GIRNAR,False
120,KW1514362350000,",NEW LINK ROAD,OSHIWARA MUMBAI 61,",R,SECY SATPURA CHS LTD ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW5611(5/7)PLOT NO 5-7 BLDG NO 7 OF CTS NO 096 26 28 32 ETC OSHIVRA HOUSE,False
121,KW1514398620000,"
PATLIPUTRA NAGAR 4,OSHIVARA LINK ROAD ,JOGESHWARI(W)  MUM.",R,CHAIRMAN SHRI GANESH UTKARSHA SAMITEE ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW5612(3/3A) CTS NO 1(PT) S. NO. 41 OSHIVARA VILLAGE JOGESHWARI(W) ""A. C. SHED AS A TEMPLE"" .",False
122,KW1511772300000,",(PROP) S.NO.41,HISSA NO.1A,,CTS NO.1(PT) OF VILLAGE,OSHIWARA, JOGESHWARI (W),MUMBAI-400 102.",r,THE SECRETARY JAI AMBE CHS ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5349(2A/1) CTS.NO.1(PT) S.NO.41(PT) & H.NO.14(PT) OSHIWARA VILLAGE JOG [W] HOUSE JAI AMBE CHS,False
123,KW1511680100000,"
LTD.C-WING,LINK RD.OSHIWARA,JOGESHWARI (W),MUM-400 102.,",R,THE SECY.LINK PALACE CHS. ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5338(1)(F-403),CTS NO.270, OSHIWARA BEHRAM BAUG HOUSE LINK PALACE 'C'WING",False
124,KW1511841550000,"
CHS LTD NEW LINK RD,,VILLAGE OSHIWARA,,JOGESHWARI (W), MUMBAI-400102",R,THE SECY EVERSHINE GREEN ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5359 (3B)/F-101 CTS NO 96 TO 100,113 TO 118,121 (PART) VILLAGE OSHIWARA NEW LINK RD HOUSE RED WOOD A WING FLAT-101",False
125,KW1513977280000,",& AREA DEV BOARD,GRIHA NIRMAN BHAVAN,KALA NAGARBANDRA EASTMUMBAI 400051",r,MAHARASHTRA HOUSING ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5566(2A) PLOT NO 26 S NO 41  OSHIWARA VILLAGE HOUSE KRISHNA,False
126,KW1513976710000,",, , ,, , , -",nR,MHADA SECY ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5566 (1) C T S 2PT 3PT 5PT 6PT AND 155PT  OSHIVARA VILLAGE LIG II  HOUSE GODAVARI,False
127,KW1513975820000,",DEVELOPMENT BOARD,GRIHA NIRMAN BHAVAN, KALA NAGAR, ,BANDRA (E), MUMBAI 400 051.",R,MAHARASHTRA HOS AND AREA ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5566 CTS.3[PT]5[PT]6[PT]155[PT]GRAMDEVI MHADA COMPLEX OSIVARA VILLAGE, JOG.[W] HOUSE BLDG.NO.3-C",False
128,KW1513976800000,",BLDG NO  3 /NEW LINK RD,OSHIWARA JOGESHWARI WEST,MUMBAI 400102",R,SECY NARMADA CO OP HSG SOC ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5566 (3) CTS 2PT 3PT 5PT 6PT AND 155PT  OSHIVARA VI LLAGE LIG II  HOUSE NARMADA,False
129,KW1511120220000,"
RASHID SHAIKH SHAIKH,HOUSE PATEL WADI BEHRAM,BAUG JOGESHWARI WESTMUMBAI 400102",Mixed Legend,SHRI ABDUL GANI ABDUL ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5329 (25AC) BEHRAM BAUG A C SHED,False
130,KW1513978680000,",BLDG NO 15 PLOT  NO H-47,OSHIVARA MHADA RESIDENTILA,COMPLEX  ANDHERI WEST MUMBAI 400053",Mixed Legend,ADHOC COMMITTEE  . ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (H-47) PLOT NO 47 OSHIWARA VILLAGE HOUSE BLDG NO 15,False
131,KW1513979810000,",BLDG NO 1 PLOT NO H-49,MHADA RESIDENTIAL COMPLEX,OSHIWARAANDHERI WESTMUMBAI 400058",Mixed Legend,SEC MARI GOLD CHS. ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611(H-59) PLOT NO 59 VILLAGE OSHIWARA HOUSE BLDG NO 1 - MARIGOLD C H S L,False
132,KW1513980820000,",HSG. SOCIETY LTD. BLDG.NO.6,OSHIWARA NEW LINK RD.,ANDHERI(W),MUMBAI-53.",Mixed Legend,HON. SECY. TULIP CO-OP. ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (H 66A) PLOT NO 66A VILLAGE OSHIWARA HOUSE BLD G NO H 66A,False
133,KW1513981210000,",DEPTT.,STATE BANK OF INDIA,,HEAD OFFICE,12 TH FL.MADAM,CAMA RD,MUMBAI-400021.",Mixed Legend,DY.GENERAL MANAGERPREMISES ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5611[H-20] PL.NO.20 OSHIVARA VILLAGE JOG.[W] HOUSEBLDG.NO.39,False
134,KW1513981470000,",DEPTT.STATE BANK OF INDIA,,HEAD OFFICE,12 TH FL.MADAM,CAMA RD,MUMBAI-400021.",Mixed Legend,DY.GENERAL MANAGERPREMISES ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5611[H-22] PLOT NO.22 OSHIVARA VILLAGE JOG.[W] HOUSEBLDG.NO.41,False
135,KW1513981550000,",BLDG NO. 42, MHADA OSHIWARA ,NEAR OSHIWARA POLICE STN. ,JOGESHWARI (W) ,MUMBAI 400 102.",Mixed Legend,OSHIWARA MATRUCHHAYA CO-OP HSG SOCIETY LTD ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5611[H-23] PL.NO.23 OSHIVARA VILLAGE JOG.[W] HOUSE BLDG.NO.42,False
136,KW1513981710000,",TAX (HQ),ADMINISTRATION AAYAKAR,BHAVAN .MAHARSHI KARVE RDMUMBAI 400020",Mixed Legend,ADDL.COMMISSIONER OF INCOME ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5611 (H-36) PLOT NO 36 OSHIWARA VILLAGE HOUSE BLDG NO 24,False
137,KW1513984900000,",OSHIWARA MHADA JOGESHWARI [,W],MUMBAI 102",Mixed Legend,SECY PARTH CHS BLDG NO 43 ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5566(A-16),CTS1/PT,PL-A16,MHADA COMPLEX HOUSE PARTH CHS BLDG-43.",False
138,KW1513986510000,",PLOT NO  R-13,OSHIWARA MHADA NEW LINK RD,JOGESHWARI WESTMUMBAI 400102",Mixed Legend,SECY EKDANT C H S LTD ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5566 (R-13) S NO 41 (PT) MHADA,VILLAGE OSHIWARA JOGESHWARI (W) HOUSE WITH SHOPS 'M/S EKDANT CHS LTD'",False
139,KW1513986780000,",D OPP GLOBAL CHAMBER BEHRAM,BAUG JOGESHWARI [W],MUMBAI 102",Mixed Legend,M/S PERFECT COST NEW LINK R ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5562 [2B/1] CTS NO 1PT S NO 41PT BEHRAM BAUG VILLAG E OSHIWARA JOG [W] HOUSE WITH SHOPS JOG GAONDEVI SRA CHS LTD BUILDING B WING,False
140,KW1514012290000,",(PROP) CTS NO 29(PT)32(PT),34(PT)35(PT)36(PT) VILLAGE,OSHIWARA,NEW LINK ROADJOGESHWARI(W) MUMBAI 102",Mixed Legend,MS/ SHIV SFURTI SRA CHS ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5562(35/H) CTS NO 29(PT)32(PT)34(PT)35(PT)36(PT) VILLAGE OSHIWARA JOGESHWARI(W) PLOT OF LAND,False
141,KW1514013260000,",M/S PERFECT CONSTRUCTION, BR NO. 102, DAIMOND CHS LTD,,NEW LINK ROAD, VILLAGE OSHIWARA, NEAR V.TECH WEB CENTRE,,JOGESHWARI(W) MUMBAI",Mixed Legend,M/S PERFECT CONSTRUCTION ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5562(2B/4AB) CTS NO 1(PT),651/A(PT) VILLAGE OSHIWARA, JOGESHWARI(W) PLOT OF LAND .",False
142,KW1514014230000,"
- Plot of land P.Of Land for Rehab B.N.2 - New Link Road, Near New link Road Oshiwara Jogeshwari ( W ) Mumbai 400102",Mixed Legend,M/s. Roshan Nagar SRA CHSL. - - ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"- Plot of land P.Of Land for Rehab B.N.2 - New Link Road, Near New link Road Oshiwara Jogeshwari ( W ) VILLAGE OSHIWARA Mumbai 400102 SRA BUILDING NO- 2 ROSHAN NAGAR, ANDHERI (WEST)",False
143,KW1514094750000,",GOREGAON DIVISION,GRIH NIRMAN BHAVAN,BANDRA EASTMUMBAI 400051",Mixed Legend,B H AND A D BOARD ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5611(EWS/85) 41 OSHIWARA VILLAGE  A C CHAWL EWS-85 ROOM NO 824 TO 833,False
144,KW1604620280000,",MONARCH & QURESHI BUILDERS,LAXMI PALACE,76 MATHURADAS RDKANDIVALI WEST MUMBAI 67",Mixed Legend,DEVELOPER RAVI GROUP ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5642(14C),, CTS NO.575(PT) & S.NO.44(PT),,,, VILLAGE OSHIVARA,HOUSE REHAB BLDG NO 1 A WING.",False
145,KW1604620440000,",D LAXMI PALACE 76 MATHURDAS,RD KANDIVALI [W] MUMBAI 67,",Mixed Legend,M/S BYRAMJI JIJIBHOY PVT LT ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5642 [14D] CTS NO 567/1 TO 44 574 574/1TO86 575 575 1TO52 576 TO 578 VILLAGE OSHIWARA VEERA DESAI ROAD HOU SE REHAB BLDG NO 2,False
146,KW1604620520000,",D LAXMI PALACE 76 MATHURDAS,RD KANDIVALI [W] MUMBAI 67,",Mixed Legend,M/S BYRAMJI JIJIBHOY PVT LT ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5642 [14E] CTS NO 567/1 TO 44 574 574/1TO 86 575 57 5 1TO52 576 TO 578 VILLAGE OSHIWARA HOUSE REHAB BLDG N O3,False
147,KW1604620790000,",LAXMI PALACE 76 MATHURDAS R,D KANDIVALI [W] MUMBAI 67,",Mixed Legend,M/S BYRAMJI JIJIBHOY PVTLTD ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5642 [14G] CTS NO 567/1 TO 44 574 574/1TO 86 575 57 5 1TO 52 576 TO 578 VILLAGE OSHIWARA HOUSE REHAB BLDG NO 5.,False
148,KW1604620870000,",D LAXMI PALACE 76 MATHURDAS,RD KANDIVALI [W] MUMBAI 67,",Mixed Legend,M/S BYRAMJI JIJIBHOY PVT LT ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5642 [14H] CTS NO 567/1 TO 44 574 574/1 TO 86 575 5 75 1TO 52 576 TO 578 VILLAGE OSHIVARA HOUSE  REHAB BLD G NO 6,False
149,KW1604630160000,",Near Infinity Mall, Off.Link Road, ANDHERI (W), MUMBAI, 400053",Mixed Legend,M/s. Evershine Cosmic Co-op. Hsg.Soc.Ltd. ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5642[14J],,CTS NO 567 567 1TO44 574 574 1TO86 575 5 75 1TO52 576 TO 578,VILLAGE OSHIWAR,,,,PLOT OF LAND.",False
150,KW1513981390000,",BLDG NO 40,OSHIWARA MHADA,NEW LINK RD JOGESHWARI(W),MUMBAI 400102",nR,SECY OSHIWARA SARGAM CHS L ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5611[H-21/F-505],OSHIWARA SARGAM CHSL, PLOT NO 21,VILLAGE OSHIWARA,,,ANDHERI [W], HOUSE WITH SHOPS BLDG NO 40, FLAT NO 505",False
151,KW1511772810000,"
OPP HEERA PANNA SHOPPING CE,NTRE OSHIWARA JOG [W] NEW L,INK RD JOGESHWARI (W), ",C,M/S ANAND SEVA SAMITI SRA ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5349[2A/3] CTS NO 155 (PT) SNO 31 H NO 1,2 & 3A VILLAGE OSHIWARA JOGESHWARI [W]  HOUSE- RELIABLE PRIDE SHOPS & OFFICES  .",False
152,KW1511841710000,"
CAUSARINA`A'CO OP HSG SOC,LTD.(PROP),OSHIWARA MHADA COMPLEXLINK RD JOGESHWARI WEST MUMBAI 400102",C,THE SECY EVERSHINE GREEN ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5359 (3D) CTS NO 96 TO 100,113 TO 118,121 (PART) VILLAGE OSHIWARA ELECTRIC SUB STATION",False
153,KW1511842440000,"
-, Raigad Comm. Complex Bldg, Raigad Commercial Complex, -, New Link Road, Near Raigad Miltry School, Oshiwara, Jogeshwari ( W ), Mumbai, 400102",C,M/s. Raigad Commercial Complex Co Op Society Ltd ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5359[8C],,CTS NO 99 TO 102 111 TO 113 124 TO 129 14 1 145 146 148 &150,VILLAGE OSHIWARA,,,JOGESHWARI WEST ASSESSED WITH KW 5359[8],PLOT OF LAND.",False
154,KW1512190130000,"
MUDLIAR NEW LINK RD,SWAMI AUTO GARAGE, BEHRAM BAUG,,JOGESHWARI( WEST)   MUMBAI ",C,SHRI AROKIASWAMY ,VILLAGE BANDIVALI,,,,,061,K/W,,,,KW-5388 (2) SURVEY NO 49 CTS 247 PT OSHIWARA NEW LINK ROAD A C SHED AS AUTO GARAGE,False
155,KW1513976390000,"
M H & A D BOARD,GRIHA NIRMAN BHAVAN KALA,NAGAR BANDRA EASTMUMBAI 400051",C,ESTATE MANAGER II 1ST FLOOR ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5566 (2) S NO 41 PL NO A-26 OSHIWARA VILLAGE HOUSE AS SHOPPING CENTRE OSHIWARA LINK PLAZA HOUSE WITH OFFICES,False
156,KW1513985970000,"
HIRA PANNA ,PL-14,MHADA,VILLAGE OSHIWARA.OPPOSITE,YASHODEEP CHS LTD,JOGESHWARI (WEST) MUM-102.",C,SHRI ASHOK KUMAR M.JAINOM  . ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5566(2B/C)/FS-77, CTS.1/155PT,S.N.41PT, OSHIWARA JOG(W)  OM HEERA PANNA HOUSE AS SHOPS ,OFFICE",False
157,KW1513986350000,"
SERINITY COMPLEX,OSHIWARA MHADA,JOGESHWARI [W]MUMBAI 102",C,SECY SAI CHS LTD ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5566 [8/F] CTS 121 122 151 TO 154 155 [PT] NEW LINK RD OSHIWARA BSES SUB STATION,False
